This be rotation
0.252466 0 -0.475144 
0.253445 0 -0.478918 
0.254494 0 -0.482723 
0.255612 0 -0.486559 
0.256796 0 -0.490425 
0.258044 0 -0.494319 
0.259353 0 -0.498241 
0.260723 0 -0.502188 
0.262149 0 -0.506161 
0.263631 0 -0.510158 
0.265166 0 -0.514178 
0.266752 0 -0.518219 
0.268386 0 -0.522281 
0.270067 0 -0.526362 
0.271792 0 -0.530462 
0.273559 0 -0.534579 
0.275366 0 -0.538713 
0.277211 0 -0.542861 
0.279091 0 -0.547023 
0.281004 0 -0.551198 
0.282948 0 -0.555385 
0.284921 0 -0.559582 
0.286921 0 -0.563789 
0.288946 0 -0.568003 
0.290992 0 -0.572226 
0.293059 0 -0.576454 
0.295143 0 -0.580687 
0.297244 0 -0.584924 
0.299357 0 -0.589163 
0.301482 0 -0.593404 
0.303616 0 -0.597646 
0.305757 0 -0.601887 
0.307903 0 -0.606126 
0.310051 0 -0.610363 
0.3122 0 -0.614595 
0.314347 0 -0.618822 
0.316489 0 -0.623043 
0.318626 0 -0.627257 
0.320753 0 -0.631462 
0.322871 0 -0.635657 
0.324975 0 -0.639842 
0.327064 0 -0.644015 
0.329136 0 -0.648175 
0.331189 0 -0.652321 
0.33322 0 -0.656452 
0.335227 0 -0.660566 
0.337208 0 -0.664663 
0.339161 0 -0.668741 
0.341084 0 -0.6728 
0.342974 0 -0.676838 
0.344829 0 -0.680854 
0.346647 0 -0.684847 
0.348426 0 -0.688815 
0.350163 0 -0.692759 
0.351857 0 -0.696676 
0.353505 0 -0.700566 
0.355105 0 -0.704427 
0.356655 0 -0.708258 
0.358153 0 -0.712058 
0.359596 0 -0.715826 
0.360982 0 -0.719562 
0.362309 0 -0.723262 
0.363576 0 -0.726928 
0.364778 0 -0.730557 
0.365916 0 -0.734149 
0.366985 0 -0.737702 
0.367985 0 -0.741215 
0.368912 0 -0.744687 
0.369765 0 -0.748117 
0.370542 0 -0.751503 
0.37124 0 -0.754846 
0.371857 0 -0.758143 
0.37239 0 -0.761393 
0.372839 0 -0.764596 
0.3732 0 -0.76775 
0.373471 0 -0.770855 
0.373651 0 -0.773908 
0.373736 0 -0.776909 
0.373725 0 -0.779857 
0.373616 0 -0.78275 
0.373406 0 -0.785588 
0.373093 0 -0.788369 
0.372675 0 -0.791093 
0.37215 0 -0.793757 
0.371515 0 -0.796362 
0.370769 0 -0.798905 
0.370769 0 -0.798906 
0.369922 0 -0.801436 
0.368988 0 -0.804 
0.367969 0 -0.806596 
0.366865 0 -0.809222 
0.36568 0 -0.811875 
0.364413 0 -0.814554 
0.363067 -1.4013e-45 -0.817256 
0.361643 -1.4013e-45 -0.81998 
0.360143 -1.4013e-45 -0.822722 
0.358568 -1.4013e-45 -0.825482 
0.35692 -2.8026e-45 -0.828257 
0.3552 -2.8026e-45 -0.831045 
0.35341 -2.8026e-45 -0.833843 
0.351551 -2.8026e-45 -0.83665 
0.349625 -4.2039e-45 -0.839464 
0.347633 -4.2039e-45 -0.842282 
0.345577 -4.2039e-45 -0.845103 
0.343459 -5.60519e-45 -0.847924 
0.341279 -5.60519e-45 -0.850743 
0.33904 -7.00649e-45 -0.853558 
0.336743 -7.00649e-45 -0.856367 
0.334389 -7.00649e-45 -0.859168 
0.331981 -8.40779e-45 -0.861959 
0.329518 -8.40779e-45 -0.864738 
0.327004 -9.80909e-45 -0.867502 
0.32444 -9.80909e-45 -0.870249 
0.321826 -9.80909e-45 -0.872978 
0.319165 -1.12104e-44 -0.875686 
0.316459 -1.12104e-44 -0.878371 
0.313707 -1.26117e-44 -0.881032 
